EVENT_ID,GRAPH_ID,OUTLET_ID,EVENT_YEAR,EVENT_TYPE,EVENT_GRADE,SPLIT,SPLIT_REASON
B016_F0001,B016,611G3160,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B008_F0001,B008,611E1460,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B032_F0002,B032,614E1550,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B022_F0003,B022,612E2800,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B019_F0004,B019,612E1060,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B033_F0001,B033,61510100,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B031_F0003,B031,61402050,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B033_F0002,B033,61510100,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B034_F0004,B034,61711890,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B022_F0004,B022,612E2800,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B014_F0001,B014,611E2920,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B020_F0002,B020,612E1940,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B018_F0003,B018,611H2032,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B019_F0005,B019,612E1060,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B006_F0004,B006,61116100,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B033_F0003,B033,61510100,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B011_F0002,B011,611E2536,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B021_F0003,B021,612E2390,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B020_F0003,B020,612E1940,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B023_F0001,B023,613E1450,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B024_F0002,B024,613E1540,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B005_F0002,B005,61113300,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B019_F0006,B019,612E1060,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B006_F0005,B006,61116100,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B010_F0002,B010,611E2360,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B033_F0004,B033,61510100,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B003_F0002,B003,61109600,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B033_F0005,B033,61510100,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B010_F0003,B010,611E2360,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B019_F0007,B019,612E1060,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B010_F0004,B010,611E2360,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B030_F0001,B030,613H9508,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B021_F0004,B021,612E2390,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B003_F0003,B003,61109600,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B008_F0003,B008,611E1460,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B001_F0001,B001,61105000,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B016_F0002,B016,611G3160,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B023_F0002,B023,613E1450,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B011_F0003,B011,611E2536,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B013_F0002,B013,611E2820,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B011_F0004,B011,611E2536,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B017_F0003,B017,611H1650,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B011_F0005,B011,611E2536,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B023_F0003,B023,613E1450,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B024_F0003,B024,613E1540,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B004_F0001,B004,61110900,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B016_F0003,B016,611G3160,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B030_F0002,B030,613H9508,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B013_F0003,B013,611E2820,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B003_F0004,B003,61109600,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B016_F0004,B016,611G3160,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B002_F0001,B002,61106450,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B017_F0004,B017,611H1650,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B021_F0006,B021,612E2390,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B020_F0004,B020,612E1940,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B001_F0002,B001,61105000,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B029_F0001,B029,613H1300,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B032_F0003,B032,614E1550,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B028_F0001,B028,613G1535,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B030_F0003,B030,613H9508,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B010_F0005,B010,611E2360,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B002_F0002,B002,61106450,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B031_F0004,B031,61402050,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B032_F0004,B032,614E1550,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B032_F0005,B032,614E1550,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B004_F0002,B004,61110900,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B003_F0005,B003,61109600,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B021_F0007,B021,612E2390,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B028_F0002,B028,613G1535,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B024_F0004,B024,613E1540,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B005_F0003,B005,61113300,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B003_F0006,B003,61109600,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B032_F0006,B032,614E1550,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B033_F0006,B033,61510100,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B031_F0005,B031,61402050,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B005_F0004,B005,61113300,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B030_F0004,B030,613H9508,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B025_F0003,B025,613E2580,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B031_F0006,B031,61402050,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B031_F0007,B031,61402050,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B031_F0008,B031,61402050,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B003_F0007,B003,61109600,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B003_F0008,B003,61109600,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B010_F0006,B010,611E2360,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B022_F0005,B022,612E2800,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B003_F0009,B003,61109600,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B016_F0005,B016,611G3160,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B007_F0001,B007,611E0470,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B022_F0006,B022,612E2800,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B006_F0006,B006,61116100,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B032_F0007,B032,614E1550,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B028_F0003,B028,613G1535,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B021_F0008,B021,612E2390,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B004_F0003,B004,61110900,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B010_F0007,B010,611E2360,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B024_F0005,B024,613E1540,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B020_F0005,B020,612E1940,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B031_F0009,B031,61402050,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B032_F0008,B032,614E1550,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B003_F0010,B003,61109600,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B001_F0003,B001,61105000,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B006_F0007,B006,61116100,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B032_F0009,B032,614E1550,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B025_F0004,B025,613E2580,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B023_F0004,B023,613E1450,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B014_F0002,B014,611E2920,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B003_F0011,B003,61109600,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B007_F0002,B007,611E0470,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B008_F0004,B008,611E1460,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B019_F0008,B019,612E1060,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B007_F0003,B007,611E0470,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B022_F0007,B022,612E2800,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B019_F0009,B019,612E1060,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B007_F0004,B007,611E0470,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B031_F0010,B031,61402050,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B025_F0005,B025,613E2580,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B008_F0005,B008,611E1460,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B007_F0005,B007,611E0470,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B008_F0006,B008,611E1460,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B019_F0010,B019,612E1060,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B020_F0006,B020,612E1940,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B016_F0006,B016,611G3160,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B034_F0005,B034,61711890,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B003_F0012,B003,61109600,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B008_F0007,B008,611E1460,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B019_F0011,B019,612E1060,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B017_F0005,B017,611H1650,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B005_F0005,B005,61113300,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B019_F0012,B019,612E1060,2022,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B028_F0004,B028,613G1535,2022,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B017_F0006,B017,611H1650,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B006_F0008,B006,61116100,2022,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B024_F0006,B024,613E1540,2022,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B017_F0007,B017,611H1650,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B006_F0009,B006,61116100,2022,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B018_F0004,B018,611H2032,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B010_F0008,B010,611E2360,2022,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B031_F0011,B031,61402050,2022,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B006_F0010,B006,61116100,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B004_F0004,B004,61110900,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B008_F0008,B008,611E1460,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B008_F0009,B008,611E1460,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B031_F0012,B031,61402050,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B010_F0009,B010,611E2360,2022,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B023_F0005,B023,613E1450,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B024_F0007,B024,613E1540,2022,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B033_F0007,B033,61510100,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B032_F0010,B032,614E1550,2022,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B022_F0008,B022,612E2800,2022,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B013_F0004,B013,611E2820,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B005_F0006,B005,61113300,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B007_F0006,B007,611E0470,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B004_F0005,B004,61110900,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B008_F0010,B008,611E1460,2022,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B025_F0006,B025,613E2580,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B031_F0013,B031,61402050,2022,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B006_F0011,B006,61116100,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B034_F0006,B034,61711890,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B002_F0004,B002,61106450,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B032_F0011,B032,614E1550,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B005_F0007,B005,61113300,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B022_F0009,B022,612E2800,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B035_F0001,B035,810G0060,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B025_F0007,B025,613E2580,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B010_F0010,B010,611E2360,2022,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B028_F0005,B028,613G1535,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B033_F0008,B033,61510100,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B003_F0013,B003,61109600,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B029_F0002,B029,613H1300,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B016_F0007,B016,611G3160,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B024_F0008,B024,613E1540,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B032_F0012,B032,614E1550,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B025_F0008,B025,613E2580,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B031_F0014,B031,61402050,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B028_F0006,B028,613G1535,2022,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
